close_price,date,high_price,low_price,open_price,price_history_id,ticker_symbol,volume
150.1900,2025-02-19,150.2200,149.8601,150.1200,66,MMM,463553
149.0900,2025-02-20,149.1900,148.3975,148.5350,67,MMM,427434
144.9500,2025-02-21,145.7400,144.7200,144.8700,68,MMM,875169
145.5000,2025-02-24,146.0900,145.3800,145.5800,69,MMM,526265
146.5800,2025-02-25,147.3500,146.2000,147.3000,70,MMM,867476
147.4500,2025-02-26,148.2800,147.1850,147.3900,71,MMM,798088
150.5000,2025-02-27,150.8500,149.5700,149.6000,72,MMM,1267026
155.2600,2025-02-28,155.2600,153.8700,154.9600,73,MMM,1415149
153.4200,2025-03-03,153.4600,151.9000,152.7500,74,MMM,975272
145.9000,2025-03-04,148.7000,145.6200,148.7000,75,MMM,958451
147.5800,2025-03-05,148.2500,147.1300,148.2500,76,MMM,635908
146.9000,2025-03-06,147.3500,146.4000,147.0000,77,MMM,661573
146.2550,2025-03-07,146.8000,145.3600,146.3000,78,MMM,877091
147.6300,2025-03-10,148.2400,147.2800,147.6000,79,MMM,622782
147.5700,2025-03-11,149.0000,147.4900,148.4200,80,MMM,876284
150.2400,2025-03-12,150.8950,150.1031,150.7200,81,MMM,624768
146.1100,2025-03-13,146.8200,145.9100,146.6900,82,MMM,636289
150.4100,2025-03-14,150.7900,150.0301,150.2600,83,MMM,616206
153.2200,2025-03-17,153.7200,153.0500,153.6600,84,MMM,614131
150.9000,2025-03-18,151.4000,150.5675,151.3200,85,MMM,556215
153.2200,2025-03-19,153.6900,152.8500,153.1100,86,MMM,467720
151.2700,2025-03-20,152.1000,151.0900,151.8950,87,MMM,569948
150.3550,2025-03-21,150.4600,149.8600,150.0100,88,MMM,376941
153.1300,2025-03-24,153.7700,153.0100,153.0100,89,MMM,477421
153.5300,2025-03-25,153.7300,152.6800,153.2000,90,MMM,506386
152.6600,2025-03-26,152.8600,152.3600,152.5400,91,MMM,512712
148.4400,2025-03-27,149.5600,148.3300,149.5600,92,MMM,394040
144.8200,2025-03-28,145.2900,144.7100,145.0400,93,MMM,429262
146.8600,2025-03-31,147.7350,146.6400,146.9700,94,MMM,625216
147.6700,2025-04-01,148.0000,147.3250,147.4100,95,MMM,385304
147.7500,2025-04-02,148.1700,147.1700,147.1800,96,MMM,659387
139.7300,2025-04-03,140.4400,139.5900,140.0150,97,MMM,885163
126.9300,2025-04-04,129.1700,126.4300,128.3150,98,MMM,1193009
128.6100,2025-04-07,128.9300,126.9700,127.4250,99,MMM,992844
127.1700,2025-04-08,127.4200,124.8200,127.0800,100,MMM,1028769
138.2250,2025-04-09,139.2300,137.3000,138.1550,101,MMM,1174530
132.9300,2025-04-10,133.1500,130.5050,132.0300,102,MMM,806285
135.9200,2025-04-11,136.4850,135.4300,135.8421,103,MMM,763986
136.0150,2025-04-14,136.7500,135.8300,136.4500,104,MMM,488804
135.2700,2025-04-15,135.7300,135.1400,135.5700,105,MMM,471335
130.4700,2025-04-16,131.2200,129.8900,130.0400,106,MMM,1358552
130.1700,2025-04-17,131.1400,130.0800,130.6550,107,MMM,776627
126.0500,2025-04-21,126.1200,125.1200,125.3500,108,MMM,1200864
136.3400,2025-04-22,137.2720,136.0400,136.4000,109,MMM,1203674
135.9600,2025-04-23,136.4000,135.2800,135.7300,110,MMM,726250
138.8700,2025-04-24,139.4500,138.7375,139.1050,111,MMM,482619
137.2850,2025-04-25,137.5700,137.1050,137.4600,112,MMM,458243
137.9300,2025-04-28,138.4100,137.4000,137.6950,113,MMM,417426
138.3800,2025-04-29,138.6800,138.1525,138.3700,114,MMM,346312
138.8300,2025-04-30,139.3100,137.3500,137.5900,115,MMM,593023
137.9000,2025-05-01,138.8000,137.7900,138.7750,116,MMM,403655
142.0700,2025-05-02,142.6250,141.9500,142.3100,117,MMM,509019
140.7900,2025-05-05,141.2000,140.5500,141.1900,118,MMM,463123
138.0000,2025-05-06,138.5600,137.9300,138.2500,119,MMM,496618
138.5600,2025-05-07,139.2800,137.8900,137.9100,120,MMM,411371
141.1600,2025-05-08,142.2000,140.9400,142.0000,121,MMM,469888
142.6100,2025-05-09,142.6200,141.9000,142.1300,122,MMM,561632
150.3500,2025-05-12,150.4599,149.8100,150.2250,123,MMM,765990
150.7200,2025-05-13,151.2800,150.7000,150.9600,124,MMM,597976
147.8800,2025-05-14,148.4100,147.8100,147.9600,125,MMM,537522
148.8000,2025-05-15,149.1500,148.5900,149.0225,126,MMM,334560
153.0900,2025-05-16,153.2800,152.7101,152.7300,127,MMM,616289
154.1000,2025-05-19,154.2600,153.6500,153.6500,128,MMM,594505
154.1400,2025-05-20,154.2300,153.7400,153.7700,129,MMM,403362
149.3900,2025-05-21,149.9000,149.3300,149.4500,130,MMM,574393
149.7500,2025-05-22,150.5300,149.5900,150.5200,131,MMM,446200
147.6200,2025-05-23,148.2800,147.4500,148.1320,132,MMM,440393
149.5000,2025-05-27,149.5800,149.1900,149.3000,133,MMM,380679
148.6700,2025-05-28,148.7700,148.3950,148.6350,134,MMM,307743
149.6600,2025-05-29,149.8000,149.1100,149.1400,135,MMM,290623
148.3000,2025-05-30,148.9600,148.1100,148.9600,136,MMM,728664
146.4400,2025-06-02,146.5400,146.2100,146.5300,137,MMM,364339
148.1300,2025-06-03,148.3600,147.9200,147.9450,138,MMM,388537
146.8000,2025-06-04,147.5850,146.7100,147.5100,139,MMM,551742
146.2500,2025-06-05,146.8350,146.0000,146.0700,140,MMM,739071
145.4800,2025-06-06,146.0500,145.4600,145.7800,141,MMM,497388
144.2300,2025-06-09,144.9500,144.1201,144.9200,142,MMM,535097
145.0400,2025-06-10,145.1500,144.6850,144.9100,143,MMM,501135
147.1700,2025-06-11,147.2500,146.6300,146.9600,144,MMM,408240
144.7600,2025-06-12,145.0800,144.4900,145.0316,145,MMM,449358
142.3100,2025-06-13,142.4800,142.0200,142.1600,146,MMM,461107
145.1200,2025-06-16,145.2100,144.6770,144.7400,147,MMM,317029
142.1700,2025-06-17,142.4800,141.9900,142.1600,148,MMM,360757
142.5400,2025-06-18,143.1000,142.2414,142.2500,149,MMM,583263
144.0200,2025-06-20,144.0500,143.0300,143.2800,150,MMM,759182
147.6000,2025-06-23,147.7200,146.6548,146.6850,151,MMM,831903
149.8900,2025-06-24,150.2900,149.7500,150.0450,152,MMM,447507
147.7600,2025-06-25,147.8300,147.3000,147.6400,153,MMM,381670
150.7900,2025-06-26,150.9200,150.2900,150.5700,154,MMM,610460
152.0200,2025-06-27,152.2300,151.1800,151.4100,155,MMM,371152
152.1700,2025-06-30,152.4600,151.8694,152.0600,156,MMM,349206
153.8100,2025-07-01,154.6250,153.7600,154.6250,157,MMM,564597
153.9700,2025-07-02,154.1600,153.6600,153.9300,158,MMM,630014
152.8450,2025-07-03,153.1800,152.3900,152.5700,159,MMM,455011
151.8300,2025-07-07,152.2800,151.7700,151.8400,160,MMM,713788
153.7500,2025-07-08,154.4300,153.4500,154.4300,161,MMM,502625
156.0300,2025-07-09,156.2200,155.7700,155.8150,162,MMM,492610
157.3400,2025-07-10,158.4200,157.2100,158.1600,163,MMM,654844
155.8100,2025-07-11,156.1000,155.5900,156.0200,164,MMM,377355
157.9100,2025-07-14,158.1100,157.3200,157.4000,165,MMM,551476
156.5800,2025-07-15,157.2950,156.5500,156.8800,166,MMM,433344
157.4600,2025-07-16,157.6800,157.0350,157.1200,167,MMM,515248
